text,task,label
Junior needs to read up on the economic principle called the Laffer Curve. Tax income is elastic based on the rates charged. Raising rates beyond a certain threshold actually reduces tax income as there is less incentive to work and people find ways of deeking the system.,toxic,clean
I have a suggestion for Leaf games - shut off the bloody music between whistles!! Ridiculous. You can't even speak to the person next to you without yelling. No amount of loud music can overcome a bad game. We understand hockey and don't need contrivances to make the experience better.,toxic,toxic
"“If we allow gay people to get married, then the next thing you know people will be wanting to marry their pets!”",fallacy,faulty generalization
"Saying that the burden of proof lies not with the person making the claim, but with someone else to disprove.",fallacy,intentional
Global average temperatures over land have plummeted by more than 1C since the middle of this year – their biggest and steepest fall on record .,fallacy,intentional
Volunteer firefighters and communities they serve in Georgia and elsewhere are being devastated by Obamacare.,claim,opinion
"Oh Great, nothing like getting the campaign season off to a 18 month early start by trashing any potential other candidate. You'd think Dunleavy would simply promote himself for a while.  But I guess this is the new reality, negative campaigning seems to stick in folk's heads more than positive.",toxic,clean
"The man is a tyrant and a madman.  This is unacceptable.  It's time to take him down.  Hurry up America, the world is waiting.",toxic,clean
What can our new math teacher know? Have you seen how fat she is?,fallacy,ad hominem
Uber and other ride-share firms are not required to carry auto insurance under Georgia law.,claim,factual
"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat.",claim,misleading
The employer mandate affects only 5 percent of businesses in this country.,claim,factual
"In the past , warming has never been a threat to life on Earth . Why should it be now ?",fallacy,fallacy of credibility
"They tell you Jeffery "" Because he was black and looked like one bad dude , He is probably on something "" Helicopter radio ( Pilot )",toxic,toxic
"Greenhouse gas emissions should be attributed to the countries that actually make them.  Not the countries that provide the raw materials.  we should also use a net emissions model I which the emissions consuming value of our vast forests are added into the equation.

It's true that Ontario power generation was badly managed and suffered from political interference but the whole ""green energy"" philosophy is flawed.  Assuming that we actually need these programs (which I'm not sure we do) they will only truly help reduce total world emissions if the 2 or 3 major emitters (china, India, USA) reduce their emissions.  Clearly this isn't going to happen anytime soon so why the heck are we imposing hugely onerous taxes on our citizens for no benefit?

Emissions per capita is not a valid way to measure climate impact.  It's kind of like when the used car salesman tells you the car is only $50/week.  Breaking the numbers down doesn't make the total smaller.",toxic,clean
"In stark contrast hillbilly finds herself being examined for numerous scandals and frauds. All of which have a legitimate reason to investigate. The woman is a career shyster and has her "" fans"" thinking she has done no wrong. Incredible huckster she is",toxic,clean
"When each faced a pension funding crisis, Tom Barrett made tough choices and smart cuts while Scott Walker passed $400 million in pension debt to the next generation.",claim,opinion
Says a bill requiring ultrasounds before abortions was supported by Republicans and Democrats.,claim,opinion
"Says that under President John F. Kennedy, government took up 27 percent of the economy, and today it consumes 37 percent.",claim,factual
Wow some of things Rihanna has done for Barbados are incredible.  Good for her!!,toxic,clean
Nathan Deal saved the HOPE scholarship program.,claim,factual
"This, so much. I know people like to talk about people following their dreams but this is a borderline circus. The guy was 3-44 in August, at high A? I don't dislike him as a person at all but I dislike when people don't live in reality.",toxic,clean
"America has lost nearlyone third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.",claim,opinion
The red bicycle is red.,fallacy,circular reasoning
"Here ’ s one from Li et al showing that China was much warmer 8,000 years ago",fallacy,intentional
"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!",fallacy,fallacy of credibility
"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",fallacy,faulty generalization
The African-American community lost half of their wealth as a result of the Wall Street collapse.,claim,factual
Doubtful. More like released in the middle of the night during one of Obama's criminal-pardoning sprees where he turned loose hundreds of people like this at the end of his reign.,toxic,clean
"Yes ........... those facts are all very obvious and are the subject of extensive reporting.
.
On the Today Show, Nicolle Wallace responded to a question about whether Trump's interactions with Comey ""might be icky, it might be awkward, it might be inappropriate, but it's not illegal.""
""Well, it may be,"" she said.
""Listen, this is where the White House has landed. They have landed on the stupidity defense.",toxic,toxic
"In her paper, Aida states ""Filthy, polluting hummers should be banned.""
Name that fallacy:",fallacy,circular reasoning
"When the new administration came on campus, test scores increased and attendance improved.",fallacy,false causality
One minute Rik Reynolds is saluting you and then next he is saying you are not an adult...talk about traveling all over the map. Obviously he has been hit on the head with a branch or three.,toxic,clean
"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""",fallacy,ad hominem
"Hoist on your own petard Ruben? Just today you said ""those who work for Trump are all legal immigrants""  Now you say Trumps hires ""temporary non-agricultural workers"".
.
Damn Ruben you should be White House communications director, you charge your story more often than Anthony Scaramucci. 
.
Admit it boy you got busted by a little old lady in sneakers.",toxic,toxic
"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.",fallacy,ad hominem
"Waste of time and money.  Trump is trying to prove one of his delusions is true.  He just can't believe that most Americans don't like him. And that's putting it mildly. Last poll I saw put him with a 36% approval rating. I have to wonder who that 36% is - Trump must have a really, really large extended family to get those numbers.",toxic,clean
"President Clinton being a moral man, being married and loving his daughter; talking about the Bible; going to church",fallacy,intentional
"And we're supposed to believe Trump instead ?

We were supposed to believe Nixon too, but we called his bluff. Now its Trump's turn to have the sweaty upper lip.",toxic,clean
"Then why all the fuss?

If Jesus ordained no one and laid down no rules for ordination, why do women demand ordination?",toxic,clean
We have more natural gas in this country than Saudi Arabia has oil.,claim,misleading
Says the Central Ohio Human Trafficking Task Force is the first task force of its kind in Central Ohio,claim,factual
"He's saying, Trump is part of the problem:

""Donald Trump simply does not possess the temperament, moral character, judgment, knowledge or desire for knowledge necessary to be president. Period. Full stop.""",toxic,clean
The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.,claim,factual
Animal rights activists believe that we shouldn't keep animals captive and make them do our will. They would have you abandon your pets in the wilderness.,fallacy,fallacy of extension
"The law once did ""do evil"" when it condoned slavery, Jim Crow, etc. which some people clearly thought was guided by the law of God. But yes, when operating a business we're all required to follow the law. And that's why many people keep advocating for better laws in order to make this a more perfect Union.",toxic,clean
I co-sponsored the Rebuild America Jobs Act for transportation and infrastructure.,claim,misleading
A real estate ad shows a happy family moving in to the home of their dreams.,fallacy,appeal to emotion
"The House health care bill pays for ""about six years of program with a decade of revenue, with the heaviest costs concentrated in the second five years.""",claim,opinion
Husbands rarely beat up their wives. Single women get beaten up more.,claim,opinion
"The city is probably trying to concoct new property tax levy's, measures, and fees to indirectly fund the $40 million project.  (Recall they are funding this with money from the general fund.)  These deceitful funding scheme will make housing more expensive, while the city lies, and says they are trying to make housing more ""affordable"".

The project should be funded solely by a voter approved bond measure.  If the voters say no, the project must wait for better economic times, if there is such a thing in Eugene.",toxic,clean
The (Wisconsin) governor has proposed tax giveaways to corporations.,claim,factual
"You have no factual source for Clinton being responsible for the surplus years that the republican house created, in spite of Clinton. The government shutdowns were in 1995 and 1996 and Clinton had as much to do with them happening as the republicans, not just Gingrich. Gingrich lost his seat when republicans, mad at him for congressional losses in the 1998 election, threatened to remove him from the speakership. Just to educate you, no president can spend a dime without it being passed by congress and sent to him for signature. If the congress does not send the president a bill allowing spending for whatever purpose, the president cannot spend it unless he signs it. The president can want to spend a whole bunch of money for many purposes but if not passed by congress first, the president cannot spend a penny. Have no idea why you would be ""Whoot, Whoot"" when once again, the facts prove your assertion is completely false, again.",toxic,clean
"New tax increases that went into effect on Jan.1, 2015, all passed under the Affordable Care Act, aka Obamacare.",claim,misleading
"What? What? Huk;h jdiruuv krnjrkno hdhdhd, ohhhh hahahahahaha!!",toxic,clean
"Great article. Well written, good points. Few objections to it. Unfortunately, some members of the public have thrust the pointed end of a stick into both eyes, whilst running in circles yelling that everyone around them is blind. Good thing there are still people who are not sheeple, and reject attempts to obfuscate the truth by those involved in the criminal underbelly of Alaska.",toxic,clean
"In the last 10 years, only one piece of legislation has been cosponsored and passed by John Duncan Jr.",claim,misleading
I would ask that Mr. K sell the team to someone who cares.,toxic,clean
By registration fewer than 20 percent of Florida voters are Independents.,claim,factual
"You may find it hard to believe, Andrew, but the 77% of Canadians as Christians comes from Statistics Canada's numbers.",toxic,clean
"Cervical cancer in Africa is fully preventable with basic education, screeningand vaccines.",claim,factual
"It's not a false claim.  Where should I get information, from the police?  What news agency do you not consider to be the ""media""? Thank God for the media, otherwise we would not have learned of Donald Trump's sexual assaults, in which the cops more than likely ignored the complaints of his victims.   Thank God for the Boston Globe's coverage of the sexual abuse scandal, which the police were very much aware of and did nothing, for letting the public know what kind of men were running their churches. I recently spent a month in Italy, and the police were the most polite, helpful, friendly people I have ever met, and everyone of them was slim.  So unlike the rude American cops, most of whom are severely overweight, with shaved heads, and extremely rude.",toxic,clean
Eliminating the state tax on health savings accounts will make it easier for small business owners to provide health insurance to their employees.,claim,misleading
"Dan Webster supports privatization of Social Security, deep cuts in Social Security.",claim,misleading
"In Massachusetts, Gov. Romney narrowed the gap between students of different races.",claim,opinion
The total unemployment rate for Hispanic or Latino workers has increased from 10% to 10.3% between January 2009 and March 2012.,claim,misleading
"This is a bill attempting to limit sex education in schools.  If kids are not educated, they will become pregnant against their will.  The headline is wrong - those who fight sex education cause there to be more unplanned pregnancies and hence more abortions.  Not every woman will choose abortion but if all pregnancies are planned, there will be many fewer abortions.",toxic,clean
"Everyday that I see the evil spill out from USA draws me closer to believing Nostradamus is  correct when he states there are 3 antichrists two have passed ,that being Bonaparte ,and Hitler. Trump is the worst of them all . Evil  SOB with no conscious at all !!!!",toxic,clean
"""We made a commitment to build this 20-mile, 21-station system, approved by the voters and we have to work together to follow through on that promise.""

Actually, the voters approved a different project - as were the costs involved. Somehow this is the project that has been forced upon the voters and the rest of the residents of Oahu and Hawaii as a whole with no end in sight for costs and more importantly, maintenance. At least give us some vaseline.",toxic,clean
"Last year, Exxon pocketed nearly $4.7 million every hour.",claim,factual
Couldn't one robot do the job?,toxic,clean
"Hey, Look!

China Joy Ambassador disagrees with truth!",toxic,clean
"U.S. Olympic medal winners will owe up to $9,000 to the IRS.",claim,misleading
There is not one single example of a specific regulation and how it saved money for any particular company or economic sector. This is pure propaganda with absolutely vacuous charts that contain no credible or specific figures of any kind. The President is using this article in his daily digest for those who want to repeat his marketing catch phrases and are too lazy to actually examine the real economics with any specific facts and figures. Real papers include several examples of actual companies and actual regulations to quantify the monetary outcome.,toxic,clean
"If there is a link that would be appreciated.  I do have an interest in these matters and more factually relevant information always helps.

With regards to available resources, ie. funding for lawsuits, it would depend on where these resources are coming from, I agree.  If funds were specifically earmarked for litigation that is one thing.  If they're using funds earmarked for education/training or building the band's economy that is entirely something else.

To be fair, the timing of this claim is suspicious.  With land values increasing to what they are now I think there is a huge economic incentive for claiming rights.  With that in mind I think they're considering this something of a future investment, so in a way it is being constructive, in a roundabout manner.",toxic,clean
"Casey Weinstein: No faith in our military ... When some of our cadets wanted to watch a religious film, Casey Weinstein sued the U.S. military. Sued our soldiers?",claim,misleading
"Basically he raised the bar for Americans, it's no longer enough to be a citizen, one has to be a patriotic American...whatever that means to him.  I've had Paul Simon's 'In My Little Town'  playing in my head all day.",toxic,clean
"Not only that, the Japanese are thinking about taking some of their nuclear reactors off line. That would increase the demand for LNG...and Prince Rupert is ideally placed for shipping to Japan.",toxic,clean
Science shows us that improved quality of life comes through research and invention.,fallacy,equivocation
"Person 1: I think pollution from humans contributes to climate change.

Person 2: So, you think humans are directly responsible for extreme weather, like hurricanes, and have caused the droughts in the southwestern U.S.?",fallacy,fallacy of extension
I believe that your post is the most ignorant and foolish compilation of nonsense ever composed.  Congratulations.,toxic,toxic
"Why do you call that ""speculation""?

Why do you assume that, ten or twenty years from now, each one of those houses will not be occupied by the student children of the millionaire working overseas, or the nephew or the niece, or the parent?

You realize, right, that the Quebec investor immigrant program is selling the better part of ten thousand citizenship papers a year to rich overseas folks, many of whom then move their families to Vancouver and Toronto?

I think there is a big difference between speculation and long-term investing with an eye of a Canadian foothold for one's family. The latter played a huge role in skyrocketing Vancouver's house prices years ago, and still does.",toxic,clean
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",fallacy,faulty generalization
"Exercise is good. Therefore everybody should exercise.'
""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'",fallacy,faulty generalization
"arguing at length that your religion is of great help to many people. Then, concluding that the teachings of your religion are undoubtably true",fallacy,fallacy of logic
My fridge isn't working. I should probably finish that book I've been reading.,fallacy,fallacy of logic
"Tells David Cicilline, 94 percent of the carbon emissions which you so want to get rid of are caused by nature.",claim,misleading
"Boston is just 60 minutes away and its offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result, the Boston skyline is completely dominated by the cranes.",claim,factual
"An old fable.   The wind and the sun had a competition as to who was the strongest and could take the coat  of a man.  The wind when first , blew and blew but the harder it tried the more the man buttoned up his coat.  Then the sun showed its power and the man took off his coat.",toxic,clean
Burke's motivation is that he likes to tell people they cannot receive Communion.  That is the motivation of many of the people so obsessed with this.  They view the Catholic Church as their country club and don't want the riff-raff to think that they've been invited to the club.  These are also the same people who treat the parish as their own little sorority and get in catfights about the parish bake sale and picnic and write letters to the chancery about the Advent Reconciliation service and liturgical dance.,toxic,clean
Mr. Wilson - Turn off Fox News and you might learn something. It's amazing that the only people who believe the things in this lte are those being spoon fed lies by Hannity and company. Change the channel!,toxic,clean
Its a plan that incorporates ideas from many of the people in this room tonight Democrats and Republicans.,claim,misleading
"Under the presidents plan, he cuts Medicare by $716 billion, takes that money out of the Medicare trust fund and uses it to pay for Obamacare.",claim,opinion
Dubious taxpayer-funded stimulus spending -- Part II.,claim,misleading
"Boots cracks me up.  I always think of that song ""These boots are made for walking...""",toxic,clean
"Having re-read Lela's post, I tend to concur more with your interpretation than I did originally.  The fallacy is that the US had ""freedom"" before the Civil War.  Certainly reflected in her repeatedly expressed ""Gone With the Wind"" views of the Antebellum south.",toxic,clean
"The challenged TFSAs did not ""trade aggressively"". That is pure spin put out by their tax advisors. The rich individuals almost certainly had large RRSPs or other taxable capital. Typically, they arranged for their RRSP to buy $5500 of a thinly traded stock from the TFSA at the published ""ask"" price, then immediately sell it back to the TFSA at the lower published ""bid"" price. A few cents stuck with the TFSA as a result. They repeated this transaction millions of times in a few seconds, as fast as the computer could whir, and thereby sucked all the money out of their RRSP into their TFSA.
The planning worked technically in those years -- the bid and ask prices are fair market value, and the Income Tax Act works off beneficial ownership, not registered ownership,so they did not even have to tell their broker what they were doing.
Anyone with a million-dollar TFSA that is being looked at by CRA who gives the ""who, me?"" innocent look is disingenuous.",toxic,clean
"He has a 57% approval rating - easily the highest of any Premier (or Prime Minister, for that matter) in the country.  Do you think public sector wage rollbacks in the middle of a severe recession will make him more popular, or less?",toxic,clean
Cincinnati is already one of the biggest cities in the country to run 100 percent on clean energy.,claim,opinion
Murkowski doesn't know how to live a subsistence lifestyle.  Big difference between urban and rural fitness.,toxic,clean
"These processes involve a transfer of energy , and water vapour makes the atmosphere behave like a giant airconditioner .",fallacy,fallacy of logic
Leafs then Boston. And easy road to the conference final for Washington.,toxic,clean
Says the federal government threatened to impose a no-fly zone in Texas if state legislators bar airport security officials from performing pat-downs.,claim,opinion
"In the past three years, state legislatures have enacted more of these restrictions (on abortion) than in the previous 10 years combined.",claim,factual
Harry Reid says he does more for Nevada. Hes done more for unemployment. We were at 4.4 percent. Now were at 14 percent. Hes done more for the foreclosure rate. We have the highest foreclosure rate in the nation. Hes done more for bankruptcy. We have the highest bankruptcy rate in the nation.,claim,opinion
"If the billionaire owner of this hockey team wants a new playground, he should build it.  Not taxpayer money.  No corporate welfare.  None.  Why is this even being considered?",toxic,clean
"You just have to recognize that like many Brit sports cars these were built by loonies, sorry, 'eccentrics', so you gotta think like one, and sometimes the only cure is to take out the ashtray, tap it twice on the dash, and put it back in again.",toxic,clean
"As for index ETFs outperforming index funds, that somewhat confusing paragraph is actually comparing index ETFs to the raw index (a theoretical entity). In a perfect world, index ETFs would match their underlying index, less fees, but in the real world they're not perfectly efficient due to periodic changes in the index and fluctuating numbers of units outstanding. The theoretical index makes changes instantaneously but the fund sponsor has to go to the market when attempting to fulfill their mandate of replicating it or issuing new units. When changes are announced in advance, there is an opportunity for arbitrageurs to trade on the change in demand of securities that are either being added or dropped from said index. The arbitrageurs profit at the expense of ETF unitholders, Smaller funds that track lesser known indices are especially vulnerable to this problem.

For more info see: https://www.bu.edu/rbfl/files/2013/09/Issue2McLaughlin.pdf",toxic,clean
"For the past 4567 million years , the sun and the Earth ’ s orbit have driven climate change cycles .",fallacy,intentional
"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",fallacy,ad hominem
"Again the only people who win from a strike if strike goes on more than a couple days are the county and the union reps on salary. If you end up with a settlement with say 7% 3% 2%no change in insurance looks about what an arbitrar would award after a 10 day strike.
Looks like a union win until you depending on each employees pay rate will not even break even at the end of the 3 year contract after a 10 day strike. 
The county has really no pressing reason to settle quickly. Plenty of managers and other staff to accept property tax payments. Christmas season and winter slow down in many departments. What if a strike went 30 days there are a number of employees who will reach retirement age before they break even. At a time that public opinion is so negative towards public employees at every level with no change in site most likely to get even more negative add in that any county officials granting the unions tedious demands would soon after be unemployed. The union has nothing but the",toxic,clean
"Mike Martinez cut a deal with prosecutors to avoid facing possible jail time and stuck us with his $24,657.50 legal bill.",claim,factual
Says Gov. Scott Walker made more than $70 million in cuts to job training programs through (Wisconsins) technical colleges.,claim,opinion
"The CDC issued a report commissioned by President Obama just earlier this year, and it found some very inconvenient facts. Armed citizens are less likely harmed by attackers. Effectiveness of gun control laws is mixed. Gun buybacks dont work.",claim,opinion
"Careful now, you might get flack from the Invisible Pink Unicorn folks.

https://en.wikipedia.org/wiki/Invisible_Pink_Unicorn
-- 
May her holy hooves never be shod.",toxic,clean
Compares minor problems with much more serious crimes,fallacy,fallacy of relevance
"Florida retirees and families lost tens of thousands of dollars in deposits on failed Trump condo projects, but he pocketed their money and walked away.",claim,opinion
"Barack Obama promises higher taxes on ""the sale of your home.""",claim,misleading
"The words ""rationality"" and ""tolerance"" do not apply to Liberty and cannot apply.",toxic,clean
It occurs when someone makes an appeal to emotion of pity instead of addressing the argument.,fallacy,appeal to emotion
Says a federal judge sanctions Tennessee birther lawyer for bringing a frivolous lawsuit.,claim,factual
"I believe that your god is the one who gave us chlamydia, gonorrhea, and syphilis.",toxic,toxic
"In a statement , Katie Warrick , its interim chief executive , noted that forecasts from the International Energy Agency , a global analysis organization , “ continue to see a role for coal for the foreseeable future . ”",fallacy,fallacy of credibility
"If Fox News presidential debate rules had been in place during the1992 election,Bill Clinton wouldnt have beenon the stage.",claim,misleading
40 percent of U.S. gun sales are occurring outside of licensed gun dealers.,claim,opinion
"Democratic Party candidates for the state Assembly actually received 200,000 more votes statewide than their Republican counterparts in the 2012 election",claim,factual
"As governor of Massachusetts, Romney reduced unemployment to just 4.7 percent.",claim,opinion
"""That is not the domain of doctors"" -- Exactly -- Why bring doctors into this?",toxic,clean
"If we don’t bail out the big automakers, the US economy will collapse.  Therefore, we need to bail out the automakers.",fallacy,appeal to emotion
"Now we have the update. ""Anchorage police say nobody has been injured in a continuing standoff ""...........Clearly the man has no intention of harming others, but he is upset that Carlos and Chugach are cutting down his trees. I have this to say to the individual..........I know how you feel, Carlos and Chugach have done a mighty fine job of destroying trees on my property too, and everybody has heard you loud and clear. Give yourself up to the police instead of dragging this out and making it worse for yourself. I'm in your corner on the tree cutting issue, but you don't want anybody to get hurt and make things worse for yourself. Give yourself up peacefully.",toxic,clean
"It is extremely well known that Eastern Canada imports oil. It is also quite well known among us older folk that the reason is that Alberta wanted to charge us more than the international price. We import oil because it's cheaper to do so. Energy East oil is mostly going to export anyway - if you read other criticisms of the government, you will note the stated need for deep water ports to ship the stuff!",toxic,clean
"The data has been available since 1990.
4shared.com you quote is a shill of the energy co's - Koch Bros as well as Western Energy among others.
Anyone with their heads outside their 2 flabby cheeks would be so informed....",toxic,clean
"Perhaps the G & M is trying to teach its subscribers, you see...

. . for Cdns not living in London, England, the lesson is --  if you complain as one of those terrible ""White People"" -- then denizens of  the ""Black, Brown, Rainbow-Coloured Societal Groupies"" will get you.. & wholesale ""Bigotry"" will be served up in an invisible manner [creating a metaphoric, 'Anything-But-White Naked Emperor trotting around for a gawping gapping Public with pompous expectations of grandeur] & as the 'invisible bigotry' is  jammed into the physical & existential brains of ""White People"" -- ""Superiority"" will be defined as ""Equality"" & the ""White Race"" will learn its lesson as it is emotionally abused to racial death with wholesale primitive ""Bigotry'.. & the bigotry targeting 'White People' will be vaulted as the ""Correct & Right"" type of discourse for the Planet..

So, the G & M is helping us, you see -- teaching us how to be good 'White People' -- Smiling, guilty & undeserving of Human Respect..

/..",toxic,clean
"In Rhode Island today, 25 percent of our households either dont have a bank account at all, or they have a bank account and theyre still relying on high-cost financial services like payday loans, pawn shop check cashing and so on.",claim,factual
"umm - nah - i'm good.. just my usual warm , fuzzy self. (actually , trump does freak me out. for all intents and purposes, i think we could put a chimp in the white house..)  but  thanks for asking...and yourself?",toxic,clean
"How about supplying them with enough money to sue everyone on the drop of a dime, but then cry poverty when it comes to their living conditions - maybe this is a missed opportunity to step forward and use their money and energy to try and lift themselves up?",toxic,clean
"In Texas, a faceless hospital panel can deny life-sustaining care, giving you only 10 days to find another facility for your mother, dad, or young child, even if the patient is conscious.",claim,opinion
"Grace and Helen were both romantically interested in Brad. One day, with Brad sitting within earshot, Grace asked in an inquisitive tone whether Helen was still having problems with her drug habit.",fallacy,intentional
"""If the law cannot hold, lawlessness followed by martial law (replete with its own abuses) is what awaits us – and it’s just around the corner."" 
Spine chilling prophecy and in many aspects already a reality. Try to get SAPS to intervene in any protest action, or imagine ending up in the middle of it as an innocent citizen.
The fish head is rotten and it is spreading to the fins and body.",toxic,clean
"No, what is insane is mandatory tipping. Restaurants should raise their prices and also pay their staff more. A waiter/waitress should earn the normal min. wage like everyone else at a minimum. If anything min. wage should be 20/hr for first 8 hours worked, 17/hr for the next 11 (to 19hrs) and 15/hr for the remaining 21 hrs, and NO tipping unless service is above and beyond. 


And no one should never tip on booze. the costs of pouring  15 bottle of wine is the same as a 100 bottle. Why should one tip differently?",toxic,clean
wow the hate runs deep in you !,toxic,clean
We have no idea what is contained in [electronic cigarette] vapor.,claim,misleading
Was it welfare Wednesday? (Mardi gras),toxic,clean
"In Jeanne Shaheen, New Hampshire has a Senator who was the deciding vote to pass Obamacare.",claim,misleading
One thing that is much more unpopular than the Affordable Care Act is repealing the Affordable Care Act.,claim,factual
"I'm honestly surprised The Post published this list. Supporters of gun control hate it when you point out that vehicles are effective deadly weapons too, because it defuses their most of their arguments in favor of schemes designed to disarm innocent civilians.",toxic,clean
"Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up, she said. Thats actually cheap when you compare us to the rest of the country.",claim,opinion
"Mr. Trump looked like he was going to stroke out. 

He went from oompah loompah orange to tomato red while screaming his plans for saving the universe. 

Strangest thing I've ever seen.",toxic,clean
The state of New York is the worst in the nation in economic recovery.,claim,misleading
"This is a family newspaper so I won't go there except to say that interspecies hybrids do survive until gastrulation, assuming the egg wall is altered to accept non-human sperm.",toxic,clean
"PM's never show upon Friday, so strike that off your talking points. Check the absentee record, Trudeau is far and away the winner. Harper and those that came before him, nearly always took questions from the leaders of the Opposition, as that is considered standard for. Very rarely has any PM taken questions from ordinary MP's. True change begins when you actually answer the question, not regurgitate the election platform. As for speaking style, there is not one world leader who speaks as badly as he does, one need simply watch the various new programmes to know this. This is not mocking, it is simply stating a fact. Finally if you think yesterday's performance wasn't an act , then your partisanship has clouded your judgement, as those that follow politics for a living, saw it for what is was, thin and transparent.",toxic,clean
"If it is something like this, nutrition is important.   Lots of healthy food with good fats (olive oil, grass-fed meat) and lots of vegetables and some fruit.   Staying away from anything processed is a good idea.",toxic,clean
Medicare passed with virtually no Republican support.,claim,misleading
Great hire.  Here's wishing​ this new coaching regime the best. Fresh perspective.,toxic,clean
"Notice to Shell.  I buy my gas at Shell.  But that is about to change.  I buy there because of the Airmiles I get.  But, my Airmiles ""personalized preferences"" no longer show me the rewards I have historically preferred to redeem.  And as my unused points grow, the ""personalized preferences"" require more and more points to redeem. Which of course I don't have enough to redeem.  Shell, don't you have any influence with Airmiles?  You must be embarrassed by the controversy generated by your loyalty partner.  So, I am going over to Petro-Canada.   Their reward program is lame.  But at least it pays.",toxic,clean
"In the space of a couple of days, Alastair Campbell has managed to turn an argument about the way the government presented its case for war in Iraq into an entirely different dispute about the way the BBC covered what was going on in Whitehall at the time.",fallacy,fallacy of relevance
"Infallibility is definitely a topic that we have to talk about. We might, for instance, want to ponder whether V1 was a free council? If not, a case can be made for questioning its conclusions. We might want to talk about how non-conciliar understandings of infallibility are at the very heart and core of the phenomenon of the modern Catholic Church being split rather violently into traditionalists and progressives at all levels. We might want to talk about how Ratzinger abused the concept of ""ordinary magisterium"" to draw the false conclusion that it is infallibly true that we may not ordain women priests. 

This is an awful lot to talk about here, most of it in one way or another implying that V1's definition of papal infallibility is beyond doubt one of the most fooling things bishops in council have ever done.",toxic,clean
Bernie isn't a Dem.,toxic,clean
